Rank,Country,Crime Index
1,Venezuela,82.6
2,Papua New Guinea,79.9
3,Afghanistan,78.6
4,South Africa,75.4
5,Honduras,74.2
6,Trinidad And Tobago,70.6
7,Guyana,69.0
8,Syria,68.8
9,Somalia,68.6
10,Jamaica,67.8
11,Peru,67.6
12,Brazil,66.6
13,Nigeria,65.5
14,Angola,65.4
15,Cameroon,64.8
16,Namibia,64.8
17,El Salvador,64.4
18,Argentina,64.3
19,Mozambique,63.4
20,Bangladesh,62.6
21,Bahamas,62.4
22,Puerto Rico,62.0
23,Dominican Republic,61.2
24,Us Virgin Islands,60.9
25,Bolivia,60.8
26,Zimbabwe,60.5
27,Colombia,60.2
28,Libya,60.2
29,Guatemala,59.7
30,Ecuador,59.4
31,Chile,58.1
32,Kenya,57.0
33,Fiji,57.0
34,Belarus,56.4
35,Tanzania,55.5
36,France,55.3
37,Uganda,54.9
38,Kyrgyzstan,54.6
39,Maldives,54.5
40,Mexico,54.4
41,Mongolia,53.9
42,Costa Rica,53.8
43,Botswana,53.7
44,Belize,53.1
45,Cambodia,52.9
46,Malaysia,52.9
47,Uruguay,52.7
48,Kazakhstan,52.7
49,Algeria,52.6
50,North Korea,52.4
51,Ethiopia,50.9
52,Paraguay,50.8
53,Iran,49.9
54,Belgium,49.1
55,United States,49.0
56,Zambia,48.8
57,Nicaragua,48.8
58,Sweden,48.5
59,Myanmar,48.2
60,Mauritius,48.1
61,Barbados,47.9
62,Egypt,47.2
63,Moldova,47.1
64,Greece,47.0
65,United Kingdom,46.9
66,Italy,46.9
67,Morocco,46.8
68,Ukraine,46.7
69,Sudan,46.5
70,Lebanon,46.2
71,Iraq,46.1
72,Indonesia,45.9
73,Ireland,45.9
74,New Zealand,45.8
75,Albania,45.7
76,Australia,45.5
77,India,44.6
78,Tunisia,44.6
79,Ghana,44.5
80,Vietnam,44.5
81,Canada,44.3
82,Panama,43.7
83,Bosnia And Herzegovina,42.9
84,Philippines,42.7
85,Malta,42.5
86,Pakistan,42.3
87,Sri Lanka,41.4
88,Jordan,41.0
89,Palestine,41.0
90,North Macedonia,40.9
91,Kosovo (Disputed Territory),40.8
92,Turkey,40.1
93,Montenegro,39.8
94,Russia,39.3
95,Thailand,38.7
96,Serbia,38.2
97,Bulgaria,38.0
98,Latvia,37.7
99,Nepal,37.6
100,Germany,37.6
101,Spain,35.7
102,Luxembourg,35.1
103,Hungary,33.9
104,Uzbekistan,33.5
105,Norway,33.5
106,Lithuania,33.0
107,Israel,32.6
108,Kuwait,32.6
109,Romania,32.0
110,Azerbaijan,31.8
111,Cuba,31.6
112,Portugal,31.5
113,Slovakia,31.4
114,Cyprus,31.4
115,Singapore,29.2
116,Poland,29.2
117,Brunei,29.0
118,Rwanda,27.6
119,Netherlands,27.3
120,Austria,27.3
121,Finland,26.8
122,Czech Republic,26.6
123,Denmark,26.6
124,China,26.3
125,Georgia,25.9
126,South Korea,25.5
127,Estonia,25.1
128,Iceland,24.9
129,Saudi Arabia,24.6
130,Monaco,24.6
131,Croatia,24.6
132,Slovenia,24.2
133,Bahrain,24.0
134,Switzerland,23.6
135,Japan,23.1
136,Armenia,22.0
137,Hong Kong (China),21.5
138,Oman,19.7
139,Isle Of Man,18.0
140,Taiwan (China),16.2
141,United Arab Emirates,15.1
142,Qatar,14.8
